category,subCategory,storeReview,productRating,productAmountOfBuy,productPrice,productHighlights,productDescription,StarSeller,numReviewers
Shirts & Tees,T-shirts,4.9378,5,1688,79.04,1,211,TRUE,1688
Shirts & Tees,T-shirts,4.9378,5,1494,82.44,1,341,FALSE,1240
Shirts & Tees,T-shirts,4.9378,5,281,79.04,1,234,TRUE,281
Shirts & Tees,T-shirts,4.9378,5,1711,81.86,1,191,TRUE,1655
Shirts & Tees,T-shirts,4.9378,5,230,79.04,3,234,TRUE,228
Shirts & Tees,T-shirts,4.8461,5,578,39,1,560,TRUE,578
Shirts & Tees,T-shirts,4.9378,5,2628,59.16,4,211,TRUE,1615
Shirts & Tees,T-shirts,4.9442,5,4353,51.86,1,401,TRUE,4353
Shirts & Tees,T-shirts,4.9378,5,281,79.04,1,234,TRUE,281
Shirts & Tees,T-shirts,4.8461,5,578,39,1,560,TRUE,578
Shirts & Tees,T-shirts,4.7995,5,60,42.34,1,545,TRUE,60
Shirts & Tees,T-shirts,4.9378,5,1438,29.04,2,211,TRUE,678
Shirts & Tees,T-shirts,4.9442,5,4353,51.86,1,401,TRUE,4353
Shirts & Tees,T-shirts,4.9517,5,366,79.44,16,160,TRUE,366
Shirts & Tees,T-shirts,4.9378,5,281,79.04,1,234,TRUE,281
Shirts & Tees,T-shirts,4.8461,5,578,39,1,560,TRUE,578
Shirts & Tees,T-shirts,4.7995,5,60,42.34,1,545,TRUE,60
Shirts & Tees,T-shirts,5,5,67,107.5,4,153,FALSE,67
Shirts & Tees,T-shirts,4.9378,5,543,171.04,1,211,TRUE,180
Shirts & Tees,T-shirts,4.9442,5,4353,51.86,1,401,TRUE,4353
Shirts & Tees,T-shirts,4.9517,5,366,79.44,16,160,TRUE,366
Shirts & Tees,T-shirts,4.8047,5,285,60.22,30,217,TRUE,285
Shirts & Tees,T-shirts,4.9378,5,281,79.04,1,234,TRUE,281
Shirts & Tees,T-shirts,4.8461,5,578,39,1,560,TRUE,578
Shirts & Tees,T-shirts,4.7995,5,60,42.34,1,545,TRUE,60
Shirts & Tees,T-shirts,5,5,67,107.5,4,153,FALSE,67
Shirts & Tees,T-shirts,4.9378,5,1127,59.04,1,211,TRUE,881
Shirts & Tees,T-shirts,4.9442,5,4353,51.86,1,401,TRUE,4353
Shirts & Tees,T-shirts,4.9517,5,366,79.44,16,160,TRUE,366
Shirts & Tees,T-shirts,4.8047,5,285,60.22,30,217,TRUE,285
Shirts & Tees,T-shirts,4.75,5,805,85.95,1,652,FALSE,805
Shirts & Tees,T-shirts,4.8131,5,182,37.88,1,207,TRUE,182
Shirts & Tees,T-shirts,4.9378,5,281,79.04,1,234,TRUE,281
Shirts & Tees,T-shirts,4.8461,5,578,39,1,560,TRUE,578
Shirts & Tees,T-shirts,4.7995,5,60,42.34,1,545,TRUE,60
Shirts & Tees,T-shirts,5,5,67,107.5,4,153,FALSE,67
Shirts & Tees,T-shirts,4.9378,5,742,79.04,7,211,TRUE,631
Shirts & Tees,T-shirts,4.9442,5,4353,51.86,1,401,TRUE,4353
Shirts & Tees,T-shirts,4.9517,5,366,79.44,16,160,TRUE,366
Shirts & Tees,T-shirts,4.8047,5,285,60.22,30,217,TRUE,285
Shirts & Tees,T-shirts,4.75,5,805,85.95,1,652,FALSE,805
Shirts & Tees,T-shirts,4.9017,5,59,22.3,1,89,FALSE,59
Shirts & Tees,T-shirts,4.8131,5,182,37.88,1,207,TRUE,182
Shirts & Tees,T-shirts,4.9378,5,281,79.04,1,234,TRUE,281
Shirts & Tees,T-shirts,4.8461,5,578,39,1,560,TRUE,578
Shirts & Tees,T-shirts,4.7995,5,60,42.34,1,545,TRUE,60
Shirts & Tees,T-shirts,5,5,67,107.5,4,153,FALSE,67
Shirts & Tees,T-shirts,4.927,5,92,79,3,517,FALSE,92
Shirts & Tees,T-shirts,4.9378,5,188,29.8,3,211,TRUE,104
Shirts & Tees,T-shirts,4.9442,5,4353,51.86,1,401,TRUE,4353
Shirts & Tees,T-shirts,4.9517,5,366,79.44,16,160,TRUE,366
Shirts & Tees,T-shirts,4.8047,5,285,60.22,30,217,TRUE,285
Shirts & Tees,T-shirts,4.75,5,805,85.95,1,652,FALSE,805
Shirts & Tees,T-shirts,4.9017,5,59,22.3,1,89,FALSE,59
Shirts & Tees,T-shirts,4.6845,5,1578,7.6,6,461,FALSE,1578
Shirts & Tees,T-shirts,4.8131,5,182,37.88,1,207,TRUE,182
Shirts & Tees,T-shirts,4.8596,5,128,77.88,9,1043,TRUE,128
Shirts & Tees,T-shirts,4.9378,5,281,79.04,1,234,TRUE,281
Shirts & Tees,T-shirts,4.8461,5,578,39,1,560,TRUE,578
Shirts & Tees,T-shirts,4.7995,5,60,42.34,1,545,TRUE,60
Shirts & Tees,T-shirts,5,5,67,107.5,4,153,FALSE,67
Shirts & Tees,T-shirts,4.927,5,92,79,3,517,FALSE,92
Shirts & Tees,T-shirts,4.9378,5,1081,70.3,2,211,TRUE,904
Shirts & Tees,T-shirts,4.9442,5,4353,51.86,1,401,TRUE,4353
Shirts & Tees,T-shirts,4.9517,5,366,79.44,16,160,TRUE,366
Shirts & Tees,T-shirts,4.8047,5,285,60.22,30,217,TRUE,285
Shirts & Tees,T-shirts,4.75,5,805,85.95,1,652,FALSE,805
